name	female_count	male_count
abdulmajid	0	21
abdulmalek	0	5
abdulmalik	0	407
abdulmohsen	0	16
abdulnasir	0	5
abdulqadir	0	38
abdulraheem	0	98
abdulrahim	0	87
abdulrahman	0	1980
abdulrazaq	0	5
abdulrehman	0	55
abdulrhman	0	28
abdulsalam	0	35
abdulsamad	0	20
abdulwadud	0	5
abdulwahab	0	134
abdulwahid	0	18
abdulwali	0	6
abdur	0	249
abdurahman	0	312
abdurahmon	0	5
abdurraheem	0	22
abdurrahim	0	27
abdurrahmaan	0	5
abdurrahman	0	736
abdurrehman	0	30
abdussamad	0	6
abe	0	9079
abeal	0	5
abed	0	193
abedallah	0	16
abedalrahman	0	11
abednego	0	59
abeeha	94	0
abeer	518	37
abeera	45	0
abegail	485	0
abegale	5	0
abegayle	23	0
abel	113	47412
abela	17	0
abelard	0	1
abelardo	0	4320
abelina	512	0
abelino	0	831
abell	5	18
abella	642	0
abem	0	54
aben	0	22
abena	564	0
abenezer	0	142
abeni	360	0
aber	5	0
aberdeen	131	0
aberham	0	25
abernathy	33	0
abert	0	15
abery	7	0
abey	17	10
abgail	29	0
abha	50	0
abhay	0	629
abheek	0	7
abhi	0	232
abhigna	41	0
abhijay	0	95
abhijeet	0	45
abhijit	0	42
abhijot	0	44
abhik	0	21
abhilash	0	22
abhimanyu	0	175
abhinav	0	1687
abhinay	0	5
abhinaya	5	0
abhiraam	0	6
abhiraj	0	67
abhiram	0	804
abhirami	5	0
abhirup	0	10
abhishek	0	753
abhyuday	0	10
abi	488	22
abia	92	0
abiageal	138	0
abiah	36	0
abian	0	12
abianna	5	0
abibail	6	0
abid	0	321
abida	37	0
abidah	5	0
abidan	0	16
abie	67	645
abiegail	15	0
abiel	23	1057
abiela	20	0
abiella	16	0
abiezer	0	12
abigael	1617	5
abigaelle	120	0
abigahil	42	0
abigai	12	0
abigail	345728	621
abigaile	578	0
abigailgrace	18	0
abigaille	27	0
abigailmarie	11	0
abigailrose	6	0
abigal	751	0
abigale	5427	0
abigayil	21	0
abigayl	335	0
abigayle	5810	5
abigeal	22	0
abigel	31	0
abigial	161	0
abiha	103	0
abihail	29	0
abijah	51	253
abilene	976	0
abilgail	28	0
abilio	0	5
abilyn	5	0
abilynn	6	0
abimael	0	1074
abimbola	80	5
abimelec	0	51
abin	0	10
abinadab	0	5
abinadi	0	22
abinav	0	35
abinaya	53	0
abiodun	0	18
abiola	151	44
abiona	19	0
abir	97	286
abira	21	0
abiram	0	12
abirami	36	0
abisag	16	0
abisai	51	824
abisaid	0	5
abish	24	0
abisha	53	0
abishai	26	167
abishek	0	50
abisola	94	0
abiud	0	6
abiyah	12	5
abla	11	0
able	0	873
abnel	0	6
abner	0	7440
abney	10	5
abony	43	0
abou	0	69
aboubacar	0	306
aboubakar	0	36
abra	899	0
abraam	0	47
abraar	0	12
abrah	35	0
abraham	203	86304
abrahan	0	943
abraheem	0	22
abrahem	0	41
abrahim	0	557
abrahm	0	665
abram	0	15645
abran	0	1972
abranda	5	0
abrar	363	328
abraxas	5	6
abraya	5	0
abrea	179	0
abreana	44	0
abreanna	256	0
abree	531	0
abreia	6	0
abrem	0	5
abren	0	11
abreona	6	0
abreonna	15	0
abrey	134	0
abreya	5	0
abrham	0	126
abri	185	0
abria	820	0
abriah	30	0
abrial	121	0
abriam	0	5
abrian	5	299
abriana	2344	0
abrianna	3901	0
abriannah	15	0
abrianne	15	0
abrie	254	0
abriel	602	358
abriela	51	0
abriele	5	0
abriella	1209	0
abrielle	3432	0
abrien	0	27
abrienne	21	0
abrigail	26	0
abrihet	5	0
abril	7259	5
abrille	10	0
abrina	161	0
abrion	0	11
abriona	20	0
abrionna	54	0
abrish	43	0
abriya	29	0
abriyah	11	0
abriyana	6	0
abrom	0	6
abron	0	254
abrum	0	45
abry	13	0
abryana	177	0
abryanna	252	0
abryella	17	0
abryelle	32	0
abryl	14	0
absalat	21	0
absalom	0	149
absalon	0	33
abshir	0	61
absidy	17	0
abtin	0	6
abu	0	372
abubacar	0	14
abubacarr	0	20
abubakar	0	534
abubakarr	0	28
